Time	Trip Fraction[public transport]	Trip Fraction[regular car]	Trip Fraction[electric car]	Owner Fraction[public transport]	Owner Fraction[regular car]	Owner Fraction[electric car]
2010	0.239457	0.760543	0	0.198895	0.801105	0
2010.13	0.239457	0.760543	0	0.198895	0.801105	0
2010.25	0.237458	0.762542	0	0.197069	0.802931	0
2010.38	0.235477	0.764523	0	0.195267	0.804733	0
2010.5	0.233519	0.766481	0	0.193493	0.806507	0
2010.63	0.231584	0.768416	0	0.191747	0.808253	0
2010.75	0.229672	0.770328	0	0.190027	0.809973	0
2010.88	0.227783	0.772217	0	0.188334	0.811666	0
2011	0.225918	0.774082	0	0.186667	0.813333	0
2011.13	0.224077	0.775923	0	0.185026	0.814974	0
2011.25	0.22226	0.77774	0	0.18341	0.81659	0
2011.38	0.220467	0.779533	0	0.18182	0.81818	0
2011.5	0.218699	0.781301	0	0.180255	0.819745	0
2011.63	0.216954	0.783046	0	0.178714	0.821286	0
2011.75	0.215234	0.784766	0	0.177197	0.822803	0
2011.88	0.213538	0.786462	0	0.175704	0.824296	0
2012	0.211867	0.788133	0	0.174234	0.825766	0
2012.13	0.210219	0.789781	0	0.172788	0.827212	0
2012.25	0.208595	0.791405	0	0.171364	0.828636	0
2012.38	0.206995	0.793005	0	0.169963	0.830037	0
2012.5	0.205418	0.794582	0	0.168584	0.831416	0
2012.63	0.203865	0.796135	0	0.167226	0.832774	0
2012.75	0.202334	0.797666	0	0.16589	0.834109	3.05573e-007
2012.88	0.200827	0.799173	1.27323e-009	0.164575	0.835424	1.47824e-006
2013	0.199342	0.800658	1.47635e-008	0.16328	0.836715	4.28988e-006
2013.13	0.19788	0.80212	8.0722e-008	0.162006	0.837985	9.68096e-006
2013.25	0.19644	0.80356	2.93403e-007	0.160751	0.839231	1.87221e-005
2013.38	0.195021	0.804978	8.19608e-007	0.159515	0.840452	3.25793e-005
2013.5	0.193624	0.806374	1.90581e-006	0.158298	0.841649	5.24817e-005
2013.63	0.192248	0.807748	3.8762e-006	0.157099	0.842821	7.96931e-005
2013.75	0.190893	0.809099	7.12629e-006	0.155919	0.843966	0.000115486
2013.88	0.189559	0.810429	1.21151e-005	0.154755	0.845083	0.000161116
2014	0.188244	0.811737	1.93571e-005	0.153609	0.846173	0.000217808
2014.13	0.186948	0.813022	2.94151e-005	0.152479	0.847234	0.000286728
2014.25	0.185672	0.814286	4.28916e-005	0.151366	0.848265	0.000368977
2014.38	0.184413	0.815526	6.04223e-005	0.150267	0.849267	0.00046557
2014.5	0.183173	0.816744	8.26674e-005	0.149185	0.850238	0.000577432
2014.63	0.18195	0.817939	0.000110304	0.148116	0.851178	0.000705383
2014.75	0.180744	0.819112	0.000144021	0.147063	0.852087	0.000850133
2014.88	0.179555	0.820261	0.000184505	0.146023	0.852965	0.00101228
2015	0.178381	0.821386	0.00023244	0.144996	0.853811	0.0011923
2015.13	0.177223	0.822489	0.000288497	0.143983	0.854626	0.00139054
2015.25	0.176079	0.823568	0.000353327	0.142983	0.85541	0.00160726
